,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0,0.7661266090000001,45,2,0.8029821290000001,9120.0,13,0,6,0,2.0,1
1,0.9571510190000001,40,0,0.12187620099999999,2600.0,4,0,0,0,1.0,0
2,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,0
3,0.23380977600000002,30,0,0.036049682,3300.0,5,0,0,0,0.0,0
4,0.9072394,49,1,0.024925695,12597.5,7,0,1,0,0.0,0
5,0.21317868199999998,74,0,0.375606969,3500.0,3,0,1,0,1.0,0
6,0.305682465,57,0,1.91166529075,5388.0,8,0,3,0,0.0,0
7,0.754463648,39,0,0.20994001699999998,3500.0,8,0,0,0,0.0,0
8,0.116950644,27,0,1.91166529075,5388.0,2,0,0,0,0.0,0
9,0.189169052,57,0,0.606290901,12597.5,9,0,4,0,2.0,0
10,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,0
11,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,0
12,0.010351856999999999,46,0,0.298354075,12454.0,13,0,2,0,2.0,0
13,0.964672555,40,3,0.38296474700000005,12597.5,9,3,1,1,2.0,1
14,0.019656581,76,0,1.91166529075,0.0,6,0,1,0,0.0,0
15,0.548458062,64,0,0.20989175399999999,11362.0,7,0,1,0,2.0,0
16,0.061086117999999995,78,0,1.91166529075,5388.0,10,0,2,0,0.0,0
17,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0,0
18,0.22181277100000002,43,0,0.527887839,3280.0,7,0,1,0,2.0,0
19,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0,0
20,0.20092338199999998,43,0,0.430046338,12300.0,10,0,2,0,0.0,0
21,0.025655677,38,0,0.47584138600000003,3000.0,7,0,1,0,2.0,1
22,0.9999998999999999,39,0,0.241103559,2500.0,4,0,0,0,0.0,0
23,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0,0
24,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0,0
25,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0,1
26,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0,0
27,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0,0
28,0.45251582799999995,24,0,0.011761246999999999,3400.0,1,0,0,0,0.0,0
29,0.39299458600000003,58,2,0.436102527,5500.0,15,0,1,0,0.0,0
30,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0,0
31,0.9999998999999999,24,0,0.472703063,750.0,1,0,0,0,0.0,0
32,0.083418009,62,0,1.91166529075,5388.0,6,0,1,0,0.0,0
33,0.18686855600000002,57,0,0.313812313,7000.0,9,0,2,0,0.0,0
34,0.6933296809999999,42,2,0.257731959,2230.0,7,0,0,0,0.0,0
35,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0,0
36,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0,0
37,0.9999998999999999,75,1,0.134078212,3400.0,1,0,1,0,1.0,0
38,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0,0
39,0.304490668,52,0,0.8083404740000001,3500.0,10,0,2,0,0.0,0
40,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,0
41,0.07289757,81,0,1.91166529075,5388.0,7,0,0,0,0.0,0
42,0.46905684200000003,31,0,0.048211004,9250.0,4,0,0,0,1.0,0
